User Phrase (Youth Tone);System Prompt (Clarification);User Response (Follow-Up);Intent
I was kinda nervous but went for it.;Got it — logging that. Want to add the club?;Felt great to bounce back after that.;Coach.Response.Encouragement
Man, that shot felt awesome!;Awesome. Which hole was that on?;That was my round reflection.;Journal.OffDay.Reflection
I wasn't feelin' it but did it anyway.;Got it — logging that. Want to add the club?;Yeah, I used my 7 iron for that.;Journal.OffDay.Reflection
Coach told me to just chill and swing.;Okay, should I mark that as a miss?;Yeah, I used my 7 iron for that.;ShotLog.Technical.Club.7Iron
Man, that shot felt awesome!;Awesome. Which hole was that on?;Felt great to bounce back after that.;Coach.Response.Encouragement
Coach told me to just chill and swing.;Okay, should I mark that as a miss?;It was on hole 14, par 3.;Routine.PreShot
I focused real hard before that drive.;Awesome. Which hole was that on?;Definitely boosted my confidence.;Junior.Motivation
I focused real hard before that drive.;Want to include how you bounced back?;Yeah, log it under junior stuff.;ShotLog.Technical.Club.7Iron
I focused real hard before that drive.;Should I tag this as junior feedback?;That was my round reflection.;Performance.Feedback.Self
My brain was like, 'you got this!';Noted. Want to rate your mindset?;I think I stayed pretty calm.;Routine.PreShot
My brain was like, 'you got this!';Awesome. Which hole was that on?;That was my round reflection.;Cue.Visualization
I wasn't feelin' it but did it anyway.;Got it — logging that. Want to add the club?;That was my round reflection.;Journal.Game.Struggle
Not my best day, but I didn't give up.;Okay, should I mark that as a miss?;Definitely boosted my confidence.;Mindset.Confidence.Boost
My brain was like, 'you got this!';Got it — logging that. Want to add the club?;Yeah, log it under junior stuff.;ShotLog.Technical.Club.7Iron
Guess what? I birdied hole 3!;Got it — logging that. Want to add the club?;Yeah, log it under junior stuff.;Performance.Feedback.Self
Man, that shot felt awesome!;Is this a journal entry for today?;That was my round reflection.;Journal.OffDay.Reflection
Coach told me to just chill and swing.;Okay, should I mark that as a miss?;Felt great to bounce back after that.;Routine.PreShot
Coach told me to just chill and swing.;Got it — logging that. Want to add the club?;Yep, did my whole pre-shot thing.;Performance.Feedback.Self
Guess what? I birdied hole 3!;Got it — logging that. Want to add the club?;Definitely boosted my confidence.;Journal.OffDay.Reflection
Guess what? I birdied hole 3!;Is this a journal entry for today?;Felt great to bounce back after that.;Journal.OffDay.Reflection
I focused real hard before that drive.;Awesome. Which hole was that on?;It was on hole 14, par 3.;Junior.Motivation
Not my best day, but I didn't give up.;Cool — was that part of your routine?;Felt great to bounce back after that.;Cue.Visualization
Not my best day, but I didn't give up.;Should I tag this as junior feedback?;It was on hole 14, par 3.;Junior.Motivation
Man, that shot felt awesome!;Okay, should I mark that as a miss?;Definitely boosted my confidence.;Performance.Feedback.Self
Man, that shot felt awesome!;Got it — logging that. Want to add the club?;Yeah, I used my 7 iron for that.;Journal.Game.Struggle
I wasn't feelin' it but did it anyway.;Got it — logging that. Want to add the club?;Felt great to bounce back after that.;Routine.PreShot
Guess what? I birdied hole 3!;Would you like to log a cue used there?;Definitely boosted my confidence.;Log.Score.Hole.14
Not my best day, but I didn't give up.;Cool — was that part of your routine?;Definitely boosted my confidence.;Journal.OffDay.Reflection
Man, that shot felt awesome!;Is this a journal entry for today?;Yeah, I used my 7 iron for that.;Journal.Game.Struggle
Guess what? I birdied hole 3!;Awesome. Which hole was that on?;Yeah, I used my 7 iron for that.;Mindset.Confidence.Boost
I was kinda nervous but went for it.;Should I tag this as junior feedback?;That was my round reflection.;Routine.PreShot
I was kinda nervous but went for it.;Okay, should I mark that as a miss?;I took a deep breath before swinging.;Coach.Response.Encouragement
My brain was like, 'you got this!';Okay, should I mark that as a miss?;It helped me feel more focused.;Cue.Visualization
Coach told me to just chill and swing.;Want to include how you bounced back?;Yep, did my whole pre-shot thing.;Log.Score.Hole.14
I wasn't feelin' it but did it anyway.;Cool — was that part of your routine?;Definitely boosted my confidence.;Routine.PreShot
I focused real hard before that drive.;Want to include how you bounced back?;It was on hole 14, par 3.;Junior.Motivation
I wasn't feelin' it but did it anyway.;Want to include how you bounced back?;It helped me feel more focused.;Junior.Motivation
Coach told me to just chill and swing.;Noted. Want to rate your mindset?;Yep, did my whole pre-shot thing.;Journal.OffDay.Reflection
I wasn't feelin' it but did it anyway.;Should I tag this as junior feedback?;I think I stayed pretty calm.;Mindset.Confidence.Boost
Man, that shot felt awesome!;Noted. Want to rate your mindset?;Definitely boosted my confidence.;ShotLog.Technical.Club.7Iron
I was kinda nervous but went for it.;Should I tag this as junior feedback?;Yeah, I used my 7 iron for that.;Coach.Response.Encouragement
Guess what? I birdied hole 3!;Want to include how you bounced back?;Yep, did my whole pre-shot thing.;Journal.Game.Struggle
I wasn't feelin' it but did it anyway.;Okay, should I mark that as a miss?;Felt great to bounce back after that.;Log.Score.Hole.14
Not my best day, but I didn't give up.;Awesome. Which hole was that on?;It was on hole 14, par 3.;Performance.Feedback.Self
Ugh, I totally messed that up.;Cool — was that part of your routine?;Definitely boosted my confidence.;Junior.Motivation
Man, that shot felt awesome!;Should I tag this as junior feedback?;Yep, did my whole pre-shot thing.;Coach.Response.Encouragement
Ugh, I totally messed that up.;Would you like to log a cue used there?;It was on hole 14, par 3.;Cue.Visualization
Guess what? I birdied hole 3!;Want to include how you bounced back?;I think I stayed pretty calm.;Cue.Visualization
Visualization helped me big time there.;Cool — was that part of your routine?;I took a deep breath before swinging.;Junior.Motivation
Man, that shot felt awesome!;Would you like to log a cue used there?;Yeah, I used my 7 iron for that.;Junior.Motivation
Visualization helped me big time there.;Got it — logging that. Want to add the club?;I think I stayed pretty calm.;ShotLog.Technical.Club.7Iron
I focused real hard before that drive.;Awesome. Which hole was that on?;It was on hole 14, par 3.;Junior.Motivation
Ugh, I totally messed that up.;Shall I mark that as a confidence boost?;It was on hole 14, par 3.;Log.Score.Hole.14
I was kinda nervous but went for it.;Want to include how you bounced back?;It was on hole 14, par 3.;Performance.Feedback.Self
I focused real hard before that drive.;Okay, should I mark that as a miss?;Felt great to bounce back after that.;Log.Score.Hole.14
Ugh, I totally messed that up.;Should I tag this as junior feedback?;Yeah, I used my 7 iron for that.;Journal.OffDay.Reflection
I was kinda nervous but went for it.;Shall I mark that as a confidence boost?;It helped me feel more focused.;Journal.Game.Struggle
I focused real hard before that drive.;Got it — logging that. Want to add the club?;Definitely boosted my confidence.;Routine.PreShot
I wasn't feelin' it but did it anyway.;Would you like to log a cue used there?;Yep, did my whole pre-shot thing.;ShotLog.Technical.Club.7Iron
I was kinda nervous but went for it.;Would you like to log a cue used there?;It helped me feel more focused.;Junior.Motivation
I focused real hard before that drive.;Shall I mark that as a confidence boost?;It was on hole 14, par 3.;Log.Score.Hole.14
I wasn't feelin' it but did it anyway.;Shall I mark that as a confidence boost?;It helped me feel more focused.;Coach.Response.Encouragement
Guess what? I birdied hole 3!;Is this a journal entry for today?;It was on hole 14, par 3.;Routine.PreShot
Coach told me to just chill and swing.;Awesome. Which hole was that on?;Yeah, log it under junior stuff.;Cue.Visualization
I focused real hard before that drive.;Shall I mark that as a confidence boost?;I took a deep breath before swinging.;Journal.OffDay.Reflection
I focused real hard before that drive.;Is this a journal entry for today?;I took a deep breath before swinging.;Junior.Motivation
I was kinda nervous but went for it.;Noted. Want to rate your mindset?;Definitely boosted my confidence.;Journal.OffDay.Reflection
Visualization helped me big time there.;Got it — logging that. Want to add the club?;I took a deep breath before swinging.;Mindset.Confidence.Boost
I was kinda nervous but went for it.;Would you like to log a cue used there?;Yeah, log it under junior stuff.;Log.Score.Hole.14
Coach told me to just chill and swing.;Want to include how you bounced back?;Yeah, log it under junior stuff.;Routine.PreShot
Not my best day, but I didn't give up.;Noted. Want to rate your mindset?;I took a deep breath before swinging.;Journal.Game.Struggle
Guess what? I birdied hole 3!;Would you like to log a cue used there?;Yeah, log it under junior stuff.;Journal.Game.Struggle
Visualization helped me big time there.;Okay, should I mark that as a miss?;Yep, did my whole pre-shot thing.;ShotLog.Technical.Club.7Iron
I wasn't feelin' it but did it anyway.;Is this a journal entry for today?;Yeah, log it under junior stuff.;Log.Score.Hole.14
Ugh, I totally messed that up.;Want to include how you bounced back?;I think I stayed pretty calm.;Routine.PreShot
I focused real hard before that drive.;Want to include how you bounced back?;It helped me feel more focused.;Log.Score.Hole.14
My brain was like, 'you got this!';Noted. Want to rate your mindset?;Yeah, I used my 7 iron for that.;Junior.Motivation
I was kinda nervous but went for it.;Is this a journal entry for today?;Yeah, I used my 7 iron for that.;Cue.Visualization
Visualization helped me big time there.;Okay, should I mark that as a miss?;That was my round reflection.;Mindset.Confidence.Boost
Ugh, I totally messed that up.;Okay, should I mark that as a miss?;It was on hole 14, par 3.;Cue.Visualization
I focused real hard before that drive.;Would you like to log a cue used there?;Felt great to bounce back after that.;Mindset.Confidence.Boost
I focused real hard before that drive.;Should I tag this as junior feedback?;Yep, did my whole pre-shot thing.;Cue.Visualization
Coach told me to just chill and swing.;Is this a journal entry for today?;Yep, did my whole pre-shot thing.;Junior.Motivation
I wasn't feelin' it but did it anyway.;Should I tag this as junior feedback?;Yeah, I used my 7 iron for that.;Junior.Motivation
I wasn't feelin' it but did it anyway.;Cool — was that part of your routine?;It helped me feel more focused.;ShotLog.Technical.Club.7Iron
Ugh, I totally messed that up.;Would you like to log a cue used there?;I think I stayed pretty calm.;Performance.Feedback.Self
